Date,Symbol,Signal,Conviction,Commentary,Risk_Flag,Future_Path,Model
2026-02-03,AGIC,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,AGHA,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ADMM,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ADAMS,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ACPL,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ACIETF,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ABSON,STAY AWAY,0%,"Insufficient data for meaningful analysis, high risk of incorrect assessment.",Satta Alert,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ABOT,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,ABL,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,AATM,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,AASM,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,AAL,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,AABS,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,786R,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-03,786,HOLD,0%,Signal unavailable (Chorus Orchestration Failed).,Safe,ATR-Adjusted Exit: 0,Groq Llama-3.3-70b (SMI-v1)
2026-02-01,TRG,WAIT,Medium,Tech sector global sell-off.,,,Groq Llama-3.3-70b (SMI-v1)
2026-02-01,OGDC,BUY,High,Strong oil prices and discovery news.,,,Groq Llama-3.3-70b (SMI-v1)
