Time,Category,Source,Headline,Sentiment_Score,Sentiment,Market_Impact,URL
2026-02-03 11:15,National (Pakistan),DAWN Business,"Pakistan, Uzbekistan eye $2bn trade in two years",0.0,Neutral,Low,https://www.dawn.com/news/1970728/pakistan-uzbekistan-eye-2bn-trade-in-two-years
2026-02-03 11:15,National (Pakistan),DAWN Business,Uptick in exports after five months,0.0,Neutral,Low,https://www.dawn.com/news/1970726/uptick-in-exports-after-five-months
2026-02-03 11:15,National (Pakistan),DAWN Business,Urea sales  plunge to  six-year low,-0.273,Bearish,Medium,https://www.dawn.com/news/1970725/urea-sales-plunge-to-six-year-low
2026-02-03 11:15,National (Pakistan),DAWN Business,"Oil slides, gold loses lustre",-0.318,Bearish,Medium,https://www.dawn.com/news/1970723/oil-slides-gold-loses-lustre
2026-02-03 11:15,National (Pakistan),DAWN Business,KSE-100 rebounds after early sell-off to close over 800 points up,0.0,Neutral,Low,https://www.dawn.com/news/1970592/kse-100-rebounds-after-early-sell-off-to-close-over-800-points-up
2026-02-03 11:15,National (Pakistan),DAWN Business,Annual consumer price index rose 5.8pc year-on-year in January,0.0,Neutral,Low,https://www.dawn.com/news/1970633/annual-consumer-price-index-rose-58pc-year-on-year-in-january
2026-02-03 11:15,National (Pakistan),DAWN Business,NFC hits pause as working groups fail to meet,-0.837,Bearish,High,https://www.dawn.com/news/1970466/nfc-hits-pause-as-working-groups-fail-to-meet
2026-02-03 11:15,National (Pakistan),DAWN Business,The yellow metal road  to security,0.34,Bullish,Medium,https://www.dawn.com/news/1970562/the-yellow-metal-road-to-security
2026-02-03 11:15,National (Pakistan),DAWN Business,The technocratic illusion of why poverty exists,-0.511,Bearish,High,https://www.dawn.com/news/1970586/the-technocratic-illusion-of-why-poverty-exists
2026-02-03 11:15,National (Pakistan),DAWN Business,Equities end January on cautious note amid economic worries,-0.494,Bearish,Medium,https://www.dawn.com/news/1970360/equities-end-january-on-cautious-note-amid-economic-worries
2026-02-03 11:15,National (Pakistan),DAWN Business,"Trump says India will buy oil from Venezuela, not Iran",0.0,Neutral,Low,https://www.dawn.com/news/1970404/trump-says-india-will-buy-oil-from-venezuela-not-iran
2026-02-03 11:15,National (Pakistan),DAWN Business,World Bank to lend $379m for power transmission overhaul,0.0,Neutral,Low,https://www.dawn.com/news/1970363/world-bank-to-lend-379m-for-power-transmission-overhaul
2026-02-03 11:15,National (Pakistan),DAWN Business,"Diesel hiked by Rs11.30, petrol stays unchanged",0.0,Neutral,Low,https://www.dawn.com/news/1970312/diesel-hiked-by-rs1130-petrol-stays-unchanged
2026-02-03 11:15,National (Pakistan),DAWN Business,FBR’s tax collection rises 16pc in January,0.0,Neutral,Low,https://www.dawn.com/news/1970366/fbrs-tax-collection-rises-16pc-in-january
2026-02-03 11:15,National (Pakistan),DAWN Business,"Govt committed to reviving industry, says Haroon Akhtar",0.273,Bullish,Medium,https://www.dawn.com/news/1970362/govt-committed-to-reviving-industry-says-haroon-akhtar
2026-02-03 11:15,National (Pakistan),DAWN Business,China factory activity loses steam,-0.318,Bearish,Medium,https://www.dawn.com/news/1970361/china-factory-activity-loses-steam
2026-02-03 11:15,National (Pakistan),DAWN Business,FPCCI chief raises alarm over abrupt super tax recovery,0.361,Bullish,Medium,https://www.dawn.com/news/1970364/fpcci-chief-raises-alarm-over-abrupt-super-tax-recovery
2026-02-03 11:15,National (Pakistan),DAWN Business,"Gold sheds Rs61,050 per tola in two days",0.0,Neutral,Low,https://www.dawn.com/news/1970365/gold-sheds-rs61050-per-tola-in-two-days
2026-02-03 11:15,National (Pakistan),DAWN Business,"Local gold plunges by Rs35,500 per tola",0.0,Neutral,Low,https://www.dawn.com/news/1970054/local-gold-plunges-by-rs35500-per-tola
2026-02-03 11:15,National (Pakistan),DAWN Business,Cuts in solar power benefits on the cards,0.103,Bullish,Low,https://www.dawn.com/news/1970055/cuts-in-solar-power-benefits-on-the-cards
2026-02-03 11:15,National (Pakistan),DAWN Business,Aurangzeb pushes SECP for faster market reforms,0.0,Neutral,Low,https://www.dawn.com/news/1970053/aurangzeb-pushes-secp-for-faster-market-reforms
2026-02-03 11:15,National (Pakistan),DAWN Business,"Industrialists, exporters welcome relief package",0.727,Bullish,High,https://www.dawn.com/news/1970052/industrialists-exporters-welcome-relief-package
2026-02-03 11:15,National (Pakistan),DAWN Business,Karachi Mayor Wahab orders KMC affairs probe after graft allegations surface,0.0,Neutral,Low,https://www.dawn.com/news/1969997/karachi-mayor-wahab-orders-kmc-affairs-probe-after-graft-allegations-surface
2026-02-03 11:15,National (Pakistan),DAWN Business,PM Shehbaz announces Rs4.4 cut in electricity rates for industries,-0.273,Bearish,Medium,https://www.dawn.com/news/1969891/pm-shehbaz-announces-rs44-cut-in-electricity-rates-for-industries
2026-02-03 11:15,National (Pakistan),DAWN Business,Weekly inflation rises 4.5pc,0.0,Neutral,Low,https://www.dawn.com/news/1970050/weekly-inflation-rises-45pc
2026-02-03 11:15,National (Pakistan),DAWN Business,Govt to hire experts to fast-track privatisation,0.0,Neutral,Low,https://www.dawn.com/news/1970051/govt-to-hire-experts-to-fast-track-privatisation
2026-02-03 11:15,National (Pakistan),DAWN Business,Trump nominates former US Fed official as next central bank chief,0.0,Neutral,Low,https://www.dawn.com/news/1969912/trump-nominates-former-us-fed-official-as-next-central-bank-chief
2026-02-03 11:15,National (Pakistan),DAWN Business,"KSE-100 closes in the green at 184,174.48 points on Friday",0.0,Neutral,Low,https://www.dawn.com/news/1969888/kse-100-closes-in-the-green-at-18417448-points-on-friday
2026-02-03 11:15,National (Pakistan),DAWN Business,Gold slumps 4pc as bets of a more hawkish Fed chair rise,0.0,Neutral,Low,https://www.dawn.com/news/1969892/gold-slumps-4pc-as-bets-of-a-more-hawkish-fed-chair-rise
2026-02-03 11:15,National (Pakistan),DAWN Business,"EU-India deal a wake-up call, say exporters",0.0,Neutral,Low,https://www.dawn.com/news/1969805/eu-india-deal-a-wake-up-call-say-exporters
2026-02-03 11:15,National (Pakistan),Express Tribune,Iran-US tensions delay ferry service,0.95,Bullish,High,https://tribune.com.pk/story/2590471/iran-us-tensions-delay-ferry-service
2026-02-03 11:15,National (Pakistan),Express Tribune,"PM, World Bank discuss accelerating CPF project delivery",0.0,Neutral,Low,https://tribune.com.pk/story/2590470/pm-world-bank-discuss-accelerating-cpf-project-delivery
2026-02-03 11:15,National (Pakistan),Express Tribune,5-year plan targets gemstone exports,0.994,Bullish,High,https://tribune.com.pk/story/2590477/5-year-plan-targets-export-of-gemstones
2026-02-03 11:15,National (Pakistan),Express Tribune,IMF chief says global inflation will fall to 3.8%,0.963,Bullish,High,https://tribune.com.pk/story/2590472/imf-chief-says-global-inflation-will-fall-to-38
2026-02-03 11:15,National (Pakistan),Express Tribune,Wafi Energy may invest up to $100m in Pakistan in 2–3 years,0.992,Bullish,High,https://tribune.com.pk/story/2590473/100m-investment-linked-to-stability
2026-02-03 11:15,National (Pakistan),Express Tribune,"Gold slides below Rs500,000 as global prices slump",0.0,Neutral,Low,https://tribune.com.pk/story/2590373/gold-falls-215-per-ounce-as-prices-slide-for-third-straight-session
2026-02-03 11:15,National (Pakistan),Express Tribune,Slump in commodities rattles global markets,0.0,Neutral,Low,https://tribune.com.pk/story/2590367/slump-in-commodities-rattles-global-markets
2026-02-03 11:15,National (Pakistan),Express Tribune,Pakistan's broken economic contract,-0.972,Bearish,High,https://tribune.com.pk/story/2590336/pakistans-broken-economic-contract
2026-02-03 11:15,National (Pakistan),Express Tribune,Warsh 'regime change' faces steep hurdles,0.0,Neutral,Low,https://tribune.com.pk/story/2590181/warsh-regime-change-faces-steep-hurdles
2026-02-03 11:15,National (Pakistan),Express Tribune,"Pakistan, Canada review BIT",0.0,Neutral,Low,https://tribune.com.pk/story/2590176/pakistan-canada-review-bit
2026-02-03 11:15,National (Pakistan),Express Tribune,HRL signs pact with Uzbekistan,0.0,Neutral,Low,https://tribune.com.pk/story/2590182/hrl-signs-pact-with-uzbekistan
2026-02-03 11:15,National (Pakistan),Express Tribune,5.8% inflation tests SBP's rate stance,0.965,Bullish,High,https://tribune.com.pk/story/2590468/58-inflation-tests-sbps-rate-stance
2026-02-03 11:15,National (Pakistan),Express Tribune,Sports product exports to China surge,0.991,Bullish,High,https://tribune.com.pk/story/2590474/sports-product-exports-to-china-surge
2026-02-03 11:15,National (Pakistan),Express Tribune,The IMF programme dilemma,0.914,Bullish,High,https://tribune.com.pk/story/2590331/the-imf-programme-dilemma
2026-02-03 11:15,National (Pakistan),Express Tribune,The deadly cost of ignoring fire safety,-0.979,Bearish,High,https://tribune.com.pk/story/2590334/the-deadly-cost-of-ignoring-fire-safety
2026-02-03 11:15,National (Pakistan),Express Tribune,Islamabad's forests under assault,0.982,Bullish,High,https://tribune.com.pk/story/2590335/islamabads-forests-under-assault
2026-02-03 11:15,National (Pakistan),Express Tribune,"Pakistan, Uzbekistan set $2b trade target at IGC",0.0,Neutral,Low,https://tribune.com.pk/story/2590475/pakistan-uzbekistan-set-2b-trade-target-at-igc
2026-02-03 11:15,National (Pakistan),Express Tribune,"As EU and India move closer, where does Pakistan stand?",0.0,Neutral,Low,https://tribune.com.pk/story/2590332/as-eu-and-india-move-closer-where-does-pakistan-stand
2026-02-03 11:15,National (Pakistan),Express Tribune,"Pakistan, Canada review BIT",0.0,Neutral,Low,https://tribune.com.pk/story/2590176/pakistan-canada-review-bit
2026-02-03 11:15,National (Pakistan),Express Tribune,'Ocean awareness critical for sustainable development',0.953,Bullish,High,https://tribune.com.pk/story/2590177/ocean-awareness-critical-for-sustainable-development
2026-02-03 11:15,National (Pakistan),Express Tribune,"Boeing reaches labour deal with 1,600 workers",0.052,Neutral,Low,https://tribune.com.pk/story/2590179/boeing-reaches-labour-deal-with-1600-workers
2026-02-03 11:15,National (Pakistan),Express Tribune,HRL signs pact with Uzbekistan,0.0,Neutral,Low,https://tribune.com.pk/story/2590182/hrl-signs-pact-with-uzbekistan
2026-02-03 11:15,National (Pakistan),Express Tribune,Standing committee orders Sindh to clear dues,0.872,Bullish,High,https://tribune.com.pk/story/2589996/standing-committee-orders-sindh-to-clear-dues
2026-02-03 11:15,National (Pakistan),Express Tribune,"World Bank, PRA agree to digitalise tax system",0.982,Bullish,High,https://tribune.com.pk/story/2589993/world-bank-pra-agree-to-digitalise-tax-system
2026-02-03 11:15,National (Pakistan),Express Tribune,"Gold crashes by over Rs35,000 per tola",0.0,Neutral,Low,https://tribune.com.pk/story/2589998/gold-crashes-by-over-rs35000-per-tola
2026-02-03 11:15,National (Pakistan),The News,Bad Bunny engaged? Ring on rapper's finger sparks buzz,0.983,Bullish,High,https://www.thenews.com.pk/latest/1390826-bad-bunny-engaged-ring-on-rappers-finger-sparks-buzz
2026-02-03 11:15,National (Pakistan),The News,"New 'shocking' details emerge over Millie Mackintosh, Hugo Taylor's split",0.573,Bullish,High,https://www.thenews.com.pk/latest/1390821-new-shocking-details-emerge-over-millie-mackintosh-hugo-taylors-split
2026-02-03 11:15,National (Pakistan),The News,Lily Allen goes unfiltered as she reflects on her new album West End Girl,0.0,Neutral,Low,https://www.thenews.com.pk/latest/1390818-lily-allen-goes-unfiltered-as-she-reflects-on-her-new-album-west-end-girl
