Date,Time,Symbol,Company,Severity,Current_Price,Change_%,RSI,Volume_Ratio,Risk_Flags,Action_Required
2026-02-02,11:44,786,786,High,0,0,50,9527.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,786R,786R,High,0,0,50,198112.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AABS,AABS,High,0,0,50,43.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AASM,AASM,High,0,0,50,14500.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AATM,AATM,High,0,0,50,856.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ABL,ABL,High,0,0,50,23148.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ABOT,ABOT,High,0,0,50,233.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ACIETF,ACIETF,High,0,0,50,4000.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ACPL,ACPL,High,0,0,50,78590.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ADAMS,ADAMS,High,0,0,50,220.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ADMM,ADMM,High,0,0,50,58288.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGHA,AGHA,High,0,0,50,652792.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGIC,AGIC,High,0,0,50,2149.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGICR2,AGICR2,High,0,0,50,350180.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGIL,AGIL,High,0,0,50,5821.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGL,AGL,High,0,0,50,204080.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGP,AGP,High,0,0,50,13027.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGSML,AGSML,High,0,0,50,9791.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AGTL,AGTL,High,0,0,50,1635.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AHCL,AHCL,High,0,0,50,1470094.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AHL,AHL,High,0,0,50,62318.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AHTM,AHTM,High,0,0,50,7.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AICL,AICL,High,0,0,50,16109.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AIRLINK,AIRLINK,High,0,0,50,446221.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AKBL,AKBL,High,0,0,50,643469.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AKDHL,AKDHL,High,0,0,50,480.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AKDSL,AKDSL,High,0,0,50,417904.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AKGL,AKGL,High,0,0,50,44.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ALAC,ALAC,High,0,0,50,34054.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ALTN,ALTN,High,0,0,50,112923.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AMBL,AMBL,High,0,0,50,16602.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AMTEX,AMTEX,High,0,0,50,75692.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ANL,ANL,High,0,0,50,277020.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ANSM,ANSM,High,0,0,50,2000.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ANTM,ANTM,High,0,0,50,111.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,APL,APL,High,0,0,50,19087.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ARPAK,ARPAK,High,0,0,50,502.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ARPL,ARPL,High,0,0,50,8366.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ARUJ,ARUJ,High,0,0,50,23307.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASC,ASC,High,0,0,50,35480.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASHT,ASHT,High,0,0,50,974.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASIC,ASIC,High,0,0,50,100.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASL,ASL,High,0,0,50,724201.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASLCPS,ASLCPS,High,0,0,50,5.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASLPS,ASLPS,High,0,0,50,5.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASTL,ASTL,High,0,0,50,274913.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ASTM,ASTM,High,0,0,50,1535.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ATBA,ATBA,High,0,0,50,6139.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ATIL,ATIL,High,0,0,50,2339.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ATLH,ATLH,High,0,0,50,756.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,ATRL,ATRL,High,0,0,50,479275.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AVN,AVN,High,0,0,50,249307.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,AWTX,AWTX,High,0,0,50,11.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BAFL,BAFL,High,0,0,50,979294.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BAFS,BAFS,High,0,0,50,40.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BAHL,BAHL,High,0,0,50,288773.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BAPL,BAPL,High,0,0,50,556.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BATA,BATA,High,0,0,50,1358.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BBFL,BBFL,High,0,0,50,108807.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BCL,BCL,High,0,0,50,7016.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BECO,BECO,High,0,0,50,1831853.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BELA,BELA,High,0,0,50,90.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BERG,BERG,High,0,0,50,897700.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BFAGRO,BFAGRO,High,0,0,50,49642.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BFBIO,BFBIO,High,0,0,50,79069.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BFMOD,BFMOD,High,0,0,50,5685.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BGL,BGL,High,0,0,50,248310.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BIFO,BIFO,High,0,0,50,16518.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BIPL,BIPL,High,0,0,50,94568.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BLUEX,BLUEX,High,0,0,50,13993.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BML,BML,High,0,0,50,570482.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BNL,BNL,High,0,0,50,827155.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BNWM,BNWM,High,0,0,50,1037.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BOK,BOK,High,0,0,50,3162.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BOP,BOP,High,0,0,50,10442445.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BPL,BPL,High,0,0,50,510.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BRRG,BRRG,High,0,0,50,1302.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BTL,BTL,High,0,0,50,769.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BUXL,BUXL,High,0,0,50,13.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BWCL,BWCL,High,0,0,50,21587.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,BWHL,BWHL,High,0,0,50,1081.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CENI,CENI,High,0,0,50,201.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CEPB,CEPB,High,0,0,50,288811.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CFL,CFL,High,0,0,50,162.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CHAS,CHAS,High,0,0,50,22210.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CHBL,CHBL,High,0,0,50,216752.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CHCC,CHCC,High,0,0,50,24404.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CJPL,CJPL,High,0,0,50,2724.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CLCPS,CLCPS,High,0,0,50,906633.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CLOV,CLOV,High,0,0,50,413438.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CLVL,CLVL,High,0,0,50,3611.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CNERGY,CNERGY,High,0,0,50,2376884.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,COLG,COLG,High,0,0,50,3997.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CPHL,CPHL,High,0,0,50,596872.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CPPL,CPPL,High,0,0,50,21715.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CRTM,CRTM,High,0,0,50,12897.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CSAP,CSAP,High,0,0,50,205787.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CSIL,CSIL,High,0,0,50,1618199.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CSILR3,CSILR3,High,0,0,50,1969522.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CTM,CTM,High,0,0,50,37457.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,CYAN,CYAN,High,0,0,50,12357.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DAAG,DAAG,High,0,0,50,12.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DADX,DADX,High,0,0,50,33.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DBCI,DBCI,High,0,0,50,83320.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DCL,DCL,High,0,0,50,1202817.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DCR,DCR,High,0,0,50,202394.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DEL,DEL,High,0,0,50,2002.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DFML,DFML,High,0,0,50,261881.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DFSM,DFSM,High,0,0,50,392924.0,Abnormal volume spike (3x avg),Review immediately
2026-02-02,11:44,DGKC,DGKC,High,0,0,50,601226.0,Abnormal volume spike (3x avg),Review immediately
